Date,ML/week
01/01/1968,0
08/01/1968,15.6187
15/01/1968,9.16315
22/01/1968,9.72004
29/01/1968,9.12638
05/02/1968,10.0753
12/02/1968,33.1459
19/02/1968,68.7608
26/02/1968,34.3855
04/03/1968,28.6611
11/03/1968,25.8973
18/03/1968,35.8393
25/03/1968,86.7568
01/04/1968,141.47
08/04/1968,133.306
15/04/1968,75.5803
22/04/1968,86.76
29/04/1968,83.3127
06/05/1968,95.1791
13/05/1968,147.368
20/05/1968,228.28
27/05/1968,140.039
03/06/1968,139.748
10/06/1968,94.6325
17/06/1968,79.9783
24/06/1968,89.6831
01/07/1968,244.888
08/07/1968,429.799
15/07/1968,664.34
22/07/1968,356.028
29/07/1968,177.173
05/08/1968,96.521
12/08/1968,91.713
19/08/1968,102.562
26/08/1968,97.1601
02/09/1968,79.0727
09/09/1968,81.4958
16/09/1968,87.6751
23/09/1968,263.529
30/09/1968,382.062
07/10/1968,356.607
14/10/1968,295.202
21/10/1968,298.296
28/10/1968,194.633
04/11/1968,348.507
11/11/1968,232.644
18/11/1968,151.906
25/11/1968,138.908
02/12/1968,367.883
09/12/1968,348.854
16/12/1968,201.765
23/12/1968,631.774
30/12/1968,891.587
06/01/1969,334.041
13/01/1969,474.899
20/01/1969,1044.59
27/01/1969,689.885
03/02/1969,378.652
10/02/1969,372.265
17/02/1969,310.927
24/02/1969,267.439
03/03/1969,588.466
10/03/1969,256.438
17/03/1969,345.562
24/03/1969,616.876
31/03/1969,291.599
07/04/1969,242.959
14/04/1969,147.465
21/04/1969,113.716
28/04/1969,181.743
05/05/1969,195.353
12/05/1969,198.793
19/05/1969,242.668
26/05/1969,216.114
02/06/1969,249.769
09/06/1969,190.866
16/06/1969,113.586
23/06/1969,122.692
30/06/1969,107.012
07/07/1969,92.1238
14/07/1969,83.7435
21/07/1969,74.2473
28/07/1969,66.3115
04/08/1969,99.3611
11/08/1969,119.913
18/08/1969,250.724
25/08/1969,181.693
01/09/1969,123.815
08/09/1969,78.2668
15/09/1969,93.521
22/09/1969,178.677
29/09/1969,203.497
06/10/1969,126.77
13/10/1969,80.8641
20/10/1969,86.4084
27/10/1969,89.7523
03/11/1969,71.7479
10/11/1969,168.008
17/11/1969,888.298
24/11/1969,529.664
01/12/1969,252.88
08/12/1969,245.18
15/12/1969,209.378
22/12/1969,616.482
29/12/1969,680.439
05/01/1970,278.767
12/01/1970,277.807
19/01/1970,1119.93
26/01/1970,896.551
02/02/1970,706.226
09/02/1970,882.027
16/02/1970,719.437
23/02/1970,952.506
02/03/1970,731.256
09/03/1970,337.263
16/03/1970,331.442
23/03/1970,301.7
30/03/1970,275.285
06/04/1970,264.157
13/04/1970,208.121
20/04/1970,157.852
27/04/1970,254.887
04/05/1970,310.996
11/05/1970,202.892
18/05/1970,241.26
25/05/1970,183.759
01/06/1970,112.631
08/06/1970,99.0562
15/06/1970,89.7158
22/06/1970,81.3857
29/06/1970,75.7465
06/07/1970,68.3874
13/07/1970,61.7425
20/07/1970,56.1588
27/07/1970,53.6573
03/08/1970,49.854
10/08/1970,48.765
17/08/1970,47.0745
24/08/1970,146.763
31/08/1970,158.775
07/09/1970,117.784
14/09/1970,281.123
21/09/1970,358.067
28/09/1970,164.378
05/10/1970,100.87
12/10/1970,90.5666
19/10/1970,135.073
26/10/1970,104.153
02/11/1970,181.913
09/11/1970,815.22
16/11/1970,622.347
23/11/1970,1068.92
30/11/1970,804.587
07/12/1970,513.883
14/12/1970,357.316
21/12/1970,270.29
28/12/1970,205.566
04/01/1971,305.838
11/01/1971,361.147
18/01/1971,288.54
25/01/1971,803.316
01/02/1971,1416.51
08/02/1971,1368.37
15/02/1971,331.074
22/02/1971,391.547
01/03/1971,288.475
08/03/1971,279.188
15/03/1971,173.134
22/03/1971,587.858
29/03/1971,384.997
05/04/1971,238.306
12/04/1971,155.858
19/04/1971,117.403
26/04/1971,130.725
03/05/1971,163.198
10/05/1971,101.311
17/05/1971,90.4096
24/05/1971,81.5423
31/05/1971,80.3617
07/06/1971,72.4469
14/06/1971,79.7907
21/06/1971,150.556
28/06/1971,176.814
05/07/1971,132.392
12/07/1971,78.1844
19/07/1971,69.1426
26/07/1971,62.6567
02/08/1971,61.4136
09/08/1971,80.6084
16/08/1971,138.18
23/08/1971,146.691
30/08/1971,78.783
06/09/1971,70.9634
13/09/1971,62.0127
20/09/1971,55.3729
27/09/1971,49.9234
04/10/1971,46.45
11/10/1971,44.7001
18/10/1971,69.2372
25/10/1971,197.546
01/11/1971,119.599
08/11/1971,79.4448
15/11/1971,163.596
22/11/1971,217.179
29/11/1971,414.105
06/12/1971,532.287
13/12/1971,264.646
20/12/1971,159.409
