Date,Ml/week
03/01/1916,6.9328
10/01/1916,5.94693
17/01/1916,5.54129
24/01/1916,5.20455
31/01/1916,4.9084
07/02/1916,5.38569
14/02/1916,57.379
21/02/1916,414.273
28/02/1916,502.314
06/03/1916,553.596
13/03/1916,289.149
20/03/1916,254.928
27/03/1916,454.635
03/04/1916,638.566
10/04/1916,192.285
17/04/1916,108.912
24/04/1916,96.2744
01/05/1916,60.9082
08/05/1916,154.95
15/05/1916,182.354
22/05/1916,84.242
29/05/1916,78.1587
05/06/1916,68.5142
12/06/1916,90.0007
19/06/1916,65.604
26/06/1916,61.4561
03/07/1916,61.3432
10/07/1916,64.9752
17/07/1916,60.0631
24/07/1916,56.6059
31/07/1916,52.6119
07/08/1916,48.8997
14/08/1916,45.4527
21/08/1916,42.6662
28/08/1916,40.7813
04/09/1916,140.138
11/09/1916,92.4446
18/09/1916,53.2021
25/09/1916,76.7829
02/10/1916,346.1
09/10/1916,622.343
16/10/1916,354.61
23/10/1916,287.168
30/10/1916,749.704
06/11/1916,1034.02
13/11/1916,1328.44
20/11/1916,504.625
27/11/1916,408.506
04/12/1916,207.351
11/12/1916,168.577
18/12/1916,164.58
25/12/1916,550.769
01/01/1917,753.26
08/01/1917,487.116
15/01/1917,382.626
22/01/1917,161.826
29/01/1917,86.7695
05/02/1917,81.0818
12/02/1917,81.0683
19/02/1917,84.7931
26/02/1917,261.116
05/03/1917,212.212
12/03/1917,433.987
19/03/1917,548.076
26/03/1917,247.107
02/04/1917,178
09/04/1917,248.923
16/04/1917,285.913
23/04/1917,206.182
30/04/1917,90.7631
07/05/1917,82.8558
14/05/1917,77.4732
21/05/1917,78.241
28/05/1917,85.8279
04/06/1917,89.3005
11/06/1917,75.3846
18/06/1917,71.1893
25/06/1917,66.883
02/07/1917,662.8
09/07/1917,619.602
16/07/1917,332.05
23/07/1917,191.839
30/07/1917,85.7166
06/08/1917,88.302
13/08/1917,176.89
20/08/1917,285.027
27/08/1917,367.528
03/09/1917,823.874
10/09/1917,362.246
17/09/1917,155.229
24/09/1917,308.676
01/10/1917,156.753
08/10/1917,268.149
15/10/1917,737.147
22/10/1917,591.312
29/10/1917,442.957
05/11/1917,531.832
12/11/1917,541.813
19/11/1917,294.228
26/11/1917,136.623
03/12/1917,117.491
10/12/1917,109.232
17/12/1917,129.952
24/12/1917,136.96
31/12/1917,103.389
07/01/1918,99.3191
14/01/1918,148.232
21/01/1918,1469.63
28/01/1918,771.258
04/02/1918,274.6
11/02/1918,346.969
18/02/1918,263.308
25/02/1918,134.686
04/03/1918,140.258
11/03/1918,100.488
18/03/1918,100.938
25/03/1918,91.9694
01/04/1918,119.93
08/04/1918,200.321
15/04/1918,143.374
22/04/1918,270.113
29/04/1918,148.646
06/05/1918,90.7929
13/05/1918,88.2204
20/05/1918,84.3142
27/05/1918,78.5921
03/06/1918,73.6895
10/06/1918,68.5319
17/06/1918,63.7737
24/06/1918,59.3934
01/07/1918,55.2335
08/07/1918,51.3364
15/07/1918,47.7351
22/07/1918,44.6624
29/07/1918,61.0274
05/08/1918,88.1373
12/08/1918,120.277
19/08/1918,52.9041
26/08/1918,52.8934
02/09/1918,58.9646
09/09/1918,116.2
16/09/1918,404.499
23/09/1918,564.631
30/09/1918,630.803
07/10/1918,670.462
14/10/1918,514.919
21/10/1918,304.01
28/10/1918,145.349
04/11/1918,135.372
11/11/1918,324.971
18/11/1918,172.902
25/11/1918,100.96
02/12/1918,256.021
09/12/1918,272.774
16/12/1918,529.914
23/12/1918,702.936
30/12/1918,654.166
06/01/1919,729.207
13/01/1919,953.245
20/01/1919,789.346
27/01/1919,570.924
03/02/1919,337.753
10/02/1919,371.73
17/02/1919,273.232
24/02/1919,714.816
03/03/1919,372.166
10/03/1919,699.771
17/03/1919,644.932
24/03/1919,563.057
31/03/1919,341.854
07/04/1919,192.081
14/04/1919,172.472
21/04/1919,271.652
28/04/1919,145.61
05/05/1919,179.778
12/05/1919,103.25
19/05/1919,97.2619
26/05/1919,90.0708
02/06/1919,83.7156
09/06/1919,77.8263
16/06/1919,72.3505
23/06/1919,67.2506
30/06/1919,62.5076
07/07/1919,58.1072
14/07/1919,54.0138
21/07/1919,50.2066
28/07/1919,46.682
04/08/1919,43.3909
11/08/1919,40.33
18/08/1919,37.4844
25/08/1919,34.8443
01/09/1919,32.4798
08/09/1919,30.4125
15/09/1919,28.4144
22/09/1919,26.503
29/09/1919,25.1181
06/10/1919,23.8042
13/10/1919,22.3796
20/10/1919,21.4823
27/10/1919,55.1778
03/11/1919,61.4501
10/11/1919,41.5053
17/11/1919,131.395
24/11/1919,348.371
01/12/1919,255.602
08/12/1919,881.257
15/12/1919,582.516
22/12/1919,484.535
29/12/1919,571.416
05/01/1920,824.351
12/01/1920,858.765
19/01/1920,857.203
26/01/1920,381.132
02/02/1920,658.826
09/02/1920,364.517
16/02/1920,342.693
23/02/1920,204.819
01/03/1920,112.385
08/03/1920,109.764
15/03/1920,188.112
22/03/1920,240.202
29/03/1920,191.132
05/04/1920,465.208
12/04/1920,430.907
19/04/1920,620.519
26/04/1920,511.695
03/05/1920,265.58
10/05/1920,215.158
17/05/1920,147.072
24/05/1920,133.675
