Date,PET
01/01/1968,0
08/01/1968,3.19995
15/01/1968,2.05983
22/01/1968,2.69436
29/01/1968,3.11907
05/02/1968,2.77765
12/02/1968,2.40483
19/02/1968,2.94683
26/02/1968,4.96801
04/03/1968,4.87821
11/03/1968,8.12924
18/03/1968,7.45469
25/03/1968,7.41035
01/04/1968,11.2817
08/04/1968,9.03808
15/04/1968,12.3346
22/04/1968,11.3527
29/04/1968,11.6638
06/05/1968,11.9396
13/05/1968,10.6191
20/05/1968,12.9257
27/05/1968,12.6642
03/06/1968,18.398
10/06/1968,17.3961
17/06/1968,23.8523
24/06/1968,17.0648
01/07/1968,14.8907
08/07/1968,16.6928
15/07/1968,15.8925
22/07/1968,19.9779
29/07/1968,20.3302
05/08/1968,18.9982
12/08/1968,13.86
19/08/1968,13.7193
26/08/1968,14.0485
02/09/1968,14.3156
09/09/1968,9.90724
16/09/1968,11.1458
23/09/1968,10.3122
30/09/1968,7.3123
07/10/1968,5.71575
14/10/1968,4.61181
21/10/1968,4.01131
28/10/1968,2.65728
04/11/1968,3.52538
11/11/1968,3.78175
18/11/1968,4.35765
25/11/1968,1.70535
02/12/1968,0.833003
09/12/1968,1.41943
16/12/1968,1.94646
23/12/1968,2.54884
30/12/1968,2.95042
06/01/1969,0.873298
13/01/1969,1.80251
20/01/1969,3.98566
27/01/1969,1.58001
03/02/1969,3.87817
10/02/1969,3.00041
17/02/1969,3.46772
24/02/1969,2.3277
03/03/1969,3.23588
10/03/1969,9.18657
17/03/1969,3.62219
24/03/1969,6.14079
31/03/1969,6.98917
07/04/1969,13.0705
14/04/1969,12.4518
21/04/1969,12.0245
28/04/1969,10.4604
05/05/1969,14.0479
12/05/1969,10.8867
19/05/1969,13.5552
26/05/1969,14.4975
02/06/1969,15.1456
09/06/1969,20.2084
16/06/1969,28.2773
23/06/1969,16.3662
30/06/1969,21.3557
07/07/1969,16.8318
14/07/1969,19.2714
21/07/1969,20.7227
28/07/1969,17.7619
04/08/1969,16.1961
11/08/1969,18.6361
18/08/1969,12.5074
25/08/1969,14.0231
01/09/1969,14.5299
08/09/1969,12.9247
15/09/1969,6.01787
22/09/1969,6.59722
29/09/1969,7.15911
06/10/1969,7.4585
13/10/1969,7.07804
20/10/1969,6.1906
27/10/1969,4.26527
03/11/1969,3.39481
10/11/1969,6.26879
17/11/1969,2.70032
24/11/1969,2.57866
01/12/1969,3.59519
08/12/1969,2.73415
15/12/1969,1.12268
22/12/1969,2.06577
29/12/1969,1.25929
05/01/1970,2.2862
12/01/1970,1.99249
19/01/1970,1.16563
26/01/1970,1.40652
02/02/1970,1.85436
09/02/1970,4.84586
16/02/1970,3.85952
23/02/1970,4.64743
02/03/1970,5.7901
09/03/1970,4.88703
16/03/1970,5.31866
23/03/1970,6.89593
30/03/1970,7.8607
06/04/1970,10.1897
13/04/1970,8.51002
20/04/1970,9.1634
27/04/1970,7.81022
04/05/1970,12.703
11/05/1970,13.7442
18/05/1970,14.7247
25/05/1970,17.6925
01/06/1970,18.9597
08/06/1970,27.3839
15/06/1970,23.3634
22/06/1970,21.1337
29/06/1970,14.635
06/07/1970,17.0862
13/07/1970,21.0878
20/07/1970,16.6809
27/07/1970,16.705
03/08/1970,14.3545
10/08/1970,15.6744
17/08/1970,13.679
24/08/1970,11.173
31/08/1970,15.7528
07/09/1970,11.5701
14/09/1970,11.4131
21/09/1970,9.68016
28/09/1970,10.2063
05/10/1970,9.68921
12/10/1970,5.49809
19/10/1970,4.47319
26/10/1970,6.50787
02/11/1970,2.8285
09/11/1970,5.65692
16/11/1970,3.70256
23/11/1970,4.25907
30/11/1970,2.34213
07/12/1970,3.0788
14/12/1970,1.57043
21/12/1970,1.24435
28/12/1970,1.69646
04/01/1971,1.21789
11/01/1971,2.12958
18/01/1971,1.12869
25/01/1971,3.78985
01/02/1971,3.18827
08/02/1971,2.7929
