Date,ML/week
01/01/1968,0
08/01/1968,23.9265
15/01/1968,14.0372
22/01/1968,14.8903
29/01/1968,13.9808
05/02/1968,15.4345
12/02/1968,50.7766
19/02/1968,105.336
26/02/1968,52.6757
04/03/1968,43.9064
11/03/1968,39.6725
18/03/1968,54.9028
25/03/1968,132.904
01/04/1968,216.72
08/04/1968,204.213
15/04/1968,115.783
22/04/1968,132.909
29/04/1968,127.628
06/05/1968,145.806
13/05/1968,225.756
20/05/1968,349.705
27/05/1968,214.528
03/06/1968,214.082
10/06/1968,144.969
17/06/1968,122.52
24/06/1968,137.387
01/07/1968,375.148
08/07/1968,658.416
15/07/1968,1017.71
22/07/1968,545.404
29/07/1968,271.414
05/08/1968,147.862
12/08/1968,140.496
19/08/1968,157.116
26/08/1968,148.841
02/09/1968,121.133
09/09/1968,124.845
16/09/1968,134.311
23/09/1968,403.704
30/09/1968,585.286
07/10/1968,546.292
14/10/1968,452.224
21/10/1968,456.965
28/10/1968,298.161
04/11/1968,533.882
11/11/1968,356.392
18/11/1968,232.707
25/11/1968,212.795
02/12/1968,563.566
09/12/1968,534.415
16/12/1968,309.086
23/12/1968,967.825
30/12/1968,1365.84
06/01/1969,511.722
13/01/1969,727.505
20/01/1969,1600.22
27/01/1969,1056.84
03/02/1969,580.062
10/02/1969,570.278
17/02/1969,476.314
24/02/1969,409.693
03/03/1969,901.479
10/03/1969,392.842
17/03/1969,529.371
24/03/1969,945.001
31/03/1969,446.705
07/04/1969,372.192
14/04/1969,225.903
21/04/1969,174.203
28/04/1969,278.415
05/05/1969,299.265
12/05/1969,304.533
19/05/1969,371.746
26/05/1969,331.068
02/06/1969,382.626
09/06/1969,292.39
16/06/1969,174.005
23/06/1969,187.953
30/06/1969,163.933
07/07/1969,141.126
14/07/1969,128.288
21/07/1969,113.741
28/07/1969,101.584
04/08/1969,152.213
11/08/1969,183.696
18/08/1969,384.088
25/08/1969,278.338
01/09/1969,189.674
08/09/1969,119.898
15/09/1969,143.266
22/09/1969,273.719
29/09/1969,311.74
06/10/1969,194.201
13/10/1969,123.877
20/10/1969,132.37
27/10/1969,137.493
03/11/1969,109.912
10/11/1969,257.373
17/11/1969,1360.8
24/11/1969,811.4
01/12/1969,387.39
08/12/1969,375.594
15/12/1969,320.749
22/12/1969,944.398
29/12/1969,1042.38
05/01/1970,427.047
12/01/1970,425.577
19/01/1970,1715.64
26/01/1970,1373.44
02/02/1970,1081.88
09/02/1970,1351.19
16/02/1970,1102.12
23/02/1970,1459.16
02/03/1970,1120.22
09/03/1970,516.658
16/03/1970,507.741
23/03/1970,462.179
30/03/1970,421.714
06/04/1970,404.666
13/04/1970,318.824
20/04/1970,241.815
27/04/1970,390.465
04/05/1970,476.42
11/05/1970,310.814
18/05/1970,369.59
25/05/1970,281.503
01/06/1970,172.541
08/06/1970,151.746
15/06/1970,137.437
22/06/1970,124.676
29/06/1970,116.037
06/07/1970,104.764
13/07/1970,94.5842
20/07/1970,86.0305
27/07/1970,82.1984
03/08/1970,76.372
10/08/1970,74.7038
17/08/1970,72.1141
24/08/1970,224.828
31/08/1970,243.23
07/09/1970,180.434
14/09/1970,430.657
21/09/1970,548.529
28/09/1970,251.813
05/10/1970,154.525
12/10/1970,138.74
19/10/1970,206.921
26/10/1970,159.553
02/11/1970,278.675
09/11/1970,1248.85
16/11/1970,953.382
23/11/1970,1637.49
30/11/1970,1232.56
07/12/1970,787.225
14/12/1970,547.377
21/12/1970,414.061
28/12/1970,314.91
04/01/1971,468.518
11/01/1971,553.246
18/01/1971,442.018
25/01/1971,1230.61
01/02/1971,2169.97
08/02/1971,2096.22
15/02/1971,507.177
22/02/1971,599.817
01/03/1971,441.918
08/03/1971,427.692
15/03/1971,265.226
22/03/1971,900.549
29/03/1971,589.783
05/04/1971,365.065
12/04/1971,238.761
19/04/1971,179.852
26/04/1971,200.259
03/05/1971,250.006
10/05/1971,155.199
17/05/1971,138.5
24/05/1971,124.916
31/05/1971,123.107
07/06/1971,110.983
14/06/1971,122.233
21/06/1971,230.639
28/06/1971,270.864
05/07/1971,202.813
12/07/1971,119.772
19/07/1971,105.921
26/07/1971,95.9847
02/08/1971,94.0804
09/08/1971,123.485
16/08/1971,211.679
23/08/1971,224.718
30/08/1971,120.689
06/09/1971,108.71
13/09/1971,94.9981
20/09/1971,84.8265
27/09/1971,76.4784
04/10/1971,71.1575
11/10/1971,68.4767
18/10/1971,106.066
25/10/1971,302.623
01/11/1971,183.215
08/11/1971,121.703
15/11/1971,250.615
22/11/1971,332.7
29/11/1971,634.374
06/12/1971,815.419
13/12/1971,405.415
20/12/1971,244.201
27/12/1971,468.717
03/01/1972,425.547
10/01/1972,293.499
17/01/1972,882.201
24/01/1972,809.852
31/01/1972,805.918
07/02/1972,1214.85
14/02/1972,809.1
21/02/1972,898.286
28/02/1972,740.29
06/03/1972,803.564
13/03/1972,1148.23
20/03/1972,501.387
27/03/1972,285.771
03/04/1972,342.136
10/04/1972,468.185
17/04/1972,757.235
24/04/1972,439.501
01/05/1972,272.578
08/05/1972,283.11
15/05/1972,343.602
22/05/1972,289.172
29/05/1972,299.265
05/06/1972,323.147
12/06/1972,460.554
19/06/1972,486.386
26/06/1972,341.125
03/07/1972,253.109
10/07/1972,195.1
17/07/1972,171.417
24/07/1972,150.503
31/07/1972,134.454
07/08/1972,123.799
14/08/1972,119.692
21/08/1972,103.659
28/08/1972,92.4905
04/09/1972,82.5874
11/09/1972,75.4762
18/09/1972,69.1871
25/09/1972,61.3217
02/10/1972,54.7559
09/10/1972,48.8931
16/10/1972,47.4968
23/10/1972,41.1495
30/10/1972,42.3732
06/11/1972,57.0836
13/11/1972,114.573
20/11/1972,495.995
27/11/1972,998.331
04/12/1972,734.036
11/12/1972,2261.66
18/12/1972,1347.35
25/12/1972,404.484
01/01/1973,501.65
08/01/1973,363.769
15/01/1973,195.837
22/01/1973,453.289
29/01/1973,490.582
05/02/1973,372.224
12/02/1973,279.353
19/02/1973,763.154
26/02/1973,400.149
05/03/1973,402.032
12/03/1973,341.712
19/03/1973,191.817
26/03/1973,152.37
02/04/1973,140.473
09/04/1973,374.197
16/04/1973,288.961
23/04/1973,174.987
30/04/1973,263.334
07/05/1973,230.44
14/05/1973,240.713
21/05/1973,191.962
28/05/1973,216.789
04/06/1973,247.453
11/06/1973,160.711
18/06/1973,138.849
25/06/1973,128.006
02/07/1973,168.338
09/07/1973,127.535
16/07/1973,119.999
23/07/1973,227.029
30/07/1973,160.887
06/08/1973,124.413
13/08/1973,335.704
20/08/1973,173.607
27/08/1973,123.038
03/09/1973,113.58
10/09/1973,102.064
17/09/1973,93.1737
24/09/1973,105.637
01/10/1973,177.694
08/10/1973,207.788
15/10/1973,169.195
22/10/1973,310.861
29/10/1973,252.144
05/11/1973,139.382
12/11/1973,217.244
19/11/1973,277.429
26/11/1973,232.18
03/12/1973,303.764
10/12/1973,359.561
17/12/1973,468.95
24/12/1973,558.44
31/12/1973,497.715
07/01/1974,518.318
14/01/1974,1439.25
21/01/1974,1162.64
28/01/1974,575.67
04/02/1974,1028.06
11/02/1974,1610.4
18/02/1974,2373.99
25/02/1974,738.384
04/03/1974,425.848
11/03/1974,409.303
18/03/1974,524.444
25/03/1974,462.044
01/04/1974,293.162
08/04/1974,177.08
15/04/1974,163.805
22/04/1974,142.792
29/04/1974,130.044
06/05/1974,141.13
13/05/1974,153.635
20/05/1974,195.192
27/05/1974,138.062
03/06/1974,117.243
10/06/1974,113.793
17/06/1974,100.559
24/06/1974,92.4099
01/07/1974,87.8992
08/07/1974,97.4479
15/07/1974,84.1
22/07/1974,89.6919
29/07/1974,77.8728
05/08/1974,77.9144
12/08/1974,98.89
19/08/1974,164.197
26/08/1974,101.658
02/09/1974,127.998
09/09/1974,807.809
16/09/1974,600.076
23/09/1974,381.238
30/09/1974,1605.43
07/10/1974,1125.86
14/10/1974,799.699
21/10/1974,555.257
28/10/1974,604.375
04/11/1974,415.927
11/11/1974,442.079
18/11/1974,807.201
25/11/1974,1046.46
02/12/1974,694.788
09/12/1974,455.366
16/12/1974,455.237
23/12/1974,564.129
30/12/1974,1423.67
06/01/1975,760.289
13/01/1975,444.011
20/01/1975,511.619
27/01/1975,1648.25
03/02/1975,1743.28
10/02/1975,568.28
17/02/1975,469.788
24/02/1975,413.996
03/03/1975,250.503
10/03/1975,485.3
17/03/1975,639.721
24/03/1975,448.45
31/03/1975,412.898
07/04/1975,387.074
14/04/1975,339.518
21/04/1975,433.09
28/04/1975,354.876
05/05/1975,230.424
12/05/1975,171.305
19/05/1975,174.975
26/05/1975,150.195
02/06/1975,133.832
09/06/1975,122.252
16/06/1975,108.108
23/06/1975,96.8082
30/06/1975,86.3454
07/07/1975,77.1027
14/07/1975,69.5691
21/07/1975,64.6176
28/07/1975,58.0649
04/08/1975,51.6088
11/08/1975,46.4387
18/08/1975,42.0914
25/08/1975,39.9223
01/09/1975,35.2341
08/09/1975,31.5389
15/09/1975,38.4493
22/09/1975,69.8038
29/09/1975,192.755
06/10/1975,343.306
13/10/1975,225.481
20/10/1975,154.097
27/10/1975,95.6409
03/11/1975,127.113
10/11/1975,212.088
17/11/1975,179.34
24/11/1975,307.182
01/12/1975,490.269
08/12/1975,1314.14
15/12/1975,428.757
22/12/1975,291.989
29/12/1975,230.754
05/01/1976,262.851
12/01/1976,357.966
19/01/1976,218.161
26/01/1976,242.851
02/02/1976,353.112
09/02/1976,321.263
16/02/1976,565.838
23/02/1976,453.305
01/03/1976,322.369
08/03/1976,224.233
15/03/1976,241.398
22/03/1976,431.804
29/03/1976,539.026
05/04/1976,399.635
12/04/1976,260.706
19/04/1976,172.361
26/04/1976,146.833
03/05/1976,133.305
10/05/1976,122.984
17/05/1976,111.726
24/05/1976,125.193
31/05/1976,105.819
07/06/1976,95.3437
14/06/1976,84.749
21/06/1976,79.046
28/06/1976,71.8984
05/07/1976,63.6314
12/07/1976,56.8613
19/07/1976,51.0856
26/07/1976,45.6719
02/08/1976,40.742
09/08/1976,36.3803
16/08/1976,32.4848
23/08/1976,29.0066
30/08/1976,25.9025
06/09/1976,23.2056
13/09/1976,21.0102
20/09/1976,23.6479
27/09/1976,112.614
04/10/1976,1527.95
11/10/1976,1827.24
18/10/1976,1854.49
25/10/1976,1358.69
01/11/1976,1075.86
08/11/1976,965.693
15/11/1976,507.633
22/11/1976,390.562
29/11/1976,291.235
06/12/1976,1627.32
13/12/1976,1232.77
20/12/1976,509.377
27/12/1976,773.649
03/01/1977,607.626
10/01/1977,676.33
17/01/1977,645.245
24/01/1977,1255.37
31/01/1977,1606.76
07/02/1977,1151.93
14/02/1977,1278.81
21/02/1977,1030.54
28/02/1977,1502.96
07/03/1977,543.695
14/03/1977,365.365
21/03/1977,620.694
28/03/1977,834.72
04/04/1977,727.699
11/04/1977,451.032
18/04/1977,268.465
25/04/1977,196.232
02/05/1977,293.182
09/05/1977,462.93
16/05/1977,457.98
23/05/1977,303.344
30/05/1977,179.034
06/06/1977,153.321
13/06/1977,173.009
20/06/1977,192.846
27/06/1977,136.396
04/07/1977,126.247
11/07/1977,113.575
18/07/1977,101.646
25/07/1977,94.1552
01/08/1977,86.1431
08/08/1977,77.6602
15/08/1977,69.5719
22/08/1977,100.387
29/08/1977,216.386
05/09/1977,211.554
12/09/1977,178.667
19/09/1977,104.067
26/09/1977,98.5965
03/10/1977,102.842
10/10/1977,164.588
17/10/1977,209.264
24/10/1977,115.773
31/10/1977,119.509
07/11/1977,418.249
14/11/1977,861.168
21/11/1977,963.068
28/11/1977,633.777
05/12/1977,351.181
12/12/1977,584.051
19/12/1977,802.365
26/12/1977,497.315
02/01/1978,616.049
09/01/1978,460.359
16/01/1978,853.564
23/01/1978,794.496
30/01/1978,1397.96
06/02/1978,1258.68
13/02/1978,646.469
20/02/1978,426.212
27/02/1978,1502.63
06/03/1978,2365.72
13/03/1978,563.041
20/03/1978,599.795
27/03/1978,692.586
03/04/1978,1136.38
10/04/1978,553.498
17/04/1978,314.831
24/04/1978,283.659
01/05/1978,272.867
08/05/1978,385.291
15/05/1978,279.882
22/05/1978,197.138
29/05/1978,158.847
05/06/1978,145.009
12/06/1978,131.321
19/06/1978,117.599
26/06/1978,107.846
03/07/1978,97.3182
10/07/1978,90.323
17/07/1978,86.2356
24/07/1978,75.6335
31/07/1978,77.13
07/08/1978,194.129
14/08/1978,141.656
21/08/1978,99.6924
28/08/1978,85.4802
04/09/1978,76.5715
11/09/1978,74.7551
18/09/1978,69.3542
25/09/1978,60.8657
02/10/1978,58.3243
09/10/1978,52.8018
16/10/1978,47.5515
23/10/1978,43.7779
30/10/1978,39.1922
06/11/1978,35.1213
13/11/1978,32.3706
20/11/1978,49.5716
27/11/1978,109.386
04/12/1978,78.1546
11/12/1978,178.799
18/12/1978,998.204
25/12/1978,582.187
01/01/1979,1406.84
08/01/1979,605.793
15/01/1979,1051.94
22/01/1979,858.982
29/01/1979,694.295
05/02/1979,929.345
12/02/1979,1185.7
19/02/1979,721.654
26/02/1979,865.821
05/03/1979,511.753
12/03/1979,957.168
19/03/1979,1300.91
26/03/1979,1083.54
02/04/1979,1122.76
09/04/1979,640.273
16/04/1979,729.26
23/04/1979,392.536
30/04/1979,357.817
07/05/1979,360.181
14/05/1979,295.865
21/05/1979,244.566
28/05/1979,375.011
04/06/1979,552.359
11/06/1979,439.197
18/06/1979,317.378
25/06/1979,199.003
02/07/1979,181.073
09/07/1979,149.284
16/07/1979,134.537
23/07/1979,119.889
30/07/1979,107.876
06/08/1979,102.346
13/08/1979,99.3828
20/08/1979,149.493
27/08/1979,171.255
03/09/1979,191.568
10/09/1979,143.26
17/09/1979,108.586
24/09/1979,145.685
01/10/1979,119.886
08/10/1979,122.167
15/10/1979,207.255
22/10/1979,204.501
29/10/1979,365.26
05/11/1979,547.501
12/11/1979,1143.69
19/11/1979,880.098
26/11/1979,500.122
03/12/1979,511.532
10/12/1979,564.843
17/12/1979,1840.83
24/12/1979,1087.73
31/12/1979,1820.34
07/01/1980,1258.26
14/01/1980,544.093
21/01/1980,375.344
28/01/1980,846.837
04/02/1980,866.112
11/02/1980,1899.48
18/02/1980,704.167
25/02/1980,650.965
03/03/1980,617.098
10/03/1980,591.929
17/03/1980,664.938
24/03/1980,433.81
31/03/1980,792.472
07/04/1980,908.293
14/04/1980,393.098
21/04/1980,214.63
28/04/1980,162.652
05/05/1980,177.537
12/05/1980,144.437
19/05/1980,127.375
26/05/1980,116.413
02/06/1980,107.326
09/06/1980,96.3093
16/06/1980,112.088
23/06/1980,192.892
30/06/1980,261.377
07/07/1980,192.516
14/07/1980,150.309
21/07/1980,173.747
28/07/1980,152.068
04/08/1980,124.449
11/08/1980,118.005
18/08/1980,152.974
25/08/1980,124.603
01/09/1980,125.382
08/09/1980,130.64
15/09/1980,127.803
22/09/1980,149.908
29/09/1980,251.271
06/10/1980,187.091
13/10/1980,677.279
