Date,Inflow
01/01/2014,3.714285714
02/01/2014,5.428571429
03/01/2014,5.142857143
04/01/2014,2.142857143
05/01/2014,0.857142857
06/01/2014,5.714285714
07/01/2014,4.285714286
08/01/2014,1.285714286
09/01/2014,0.857142857
10/01/2014,1.571428571
11/01/2014,2.857142857
12/01/2014,1.142857143
13/01/2014,0.857142857
14/01/2014,3.714285714
15/01/2014,0
16/01/2014,4.285714286
17/01/2014,0.142857143
18/01/2014,0
19/01/2014,1.428571429
20/01/2014,2.857142857
21/01/2014,5.571428571
22/01/2014,5.285714286
23/01/2014,4
24/01/2014,3.285714286
25/01/2014,4.142857143
26/01/2014,5.142857143
27/01/2014,4.285714286
28/01/2014,3.142857143
29/01/2014,1.428571429
30/01/2014,5.714285714
31/01/2014,5.571428571
01/02/2014,1.428571429
02/02/2014,3.142857143
03/02/2014,0.571428571
04/02/2014,2.428571429
05/02/2014,1.714285714
06/02/2014,2.714285714
07/02/2014,1
08/02/2014,0
09/02/2014,3.857142857
10/02/2014,2.428571429
11/02/2014,3
12/02/2014,0.714285714
13/02/2014,5.428571429
14/02/2014,1.428571429
15/02/2014,0
16/02/2014,1.714285714
17/02/2014,5.285714286
18/02/2014,5
19/02/2014,5.285714286
20/02/2014,1.428571429
21/02/2014,4
22/02/2014,2.428571429
23/02/2014,2.857142857
24/02/2014,1.857142857
25/02/2014,2
26/02/2014,1.714285714
27/02/2014,1
28/02/2014,3.285714286
01/03/2014,5.285714286
02/03/2014,4
03/03/2014,2
04/03/2014,3.714285714
05/03/2014,4.714285714
06/03/2014,3.857142857
07/03/2014,2.142857143
08/03/2014,3.428571429
09/03/2014,4.571428571
10/03/2014,1
11/03/2014,5.285714286
12/03/2014,4.142857143
13/03/2014,0.142857143
14/03/2014,3.714285714
15/03/2014,1.857142857
16/03/2014,1.285714286
17/03/2014,0.857142857
18/03/2014,0.714285714
19/03/2014,3.142857143
20/03/2014,2.428571429
21/03/2014,4.857142857
22/03/2014,0
23/03/2014,2.428571429
24/03/2014,3.285714286
25/03/2014,0
26/03/2014,0.285714286
27/03/2014,4.142857143
28/03/2014,3.714285714
29/03/2014,0.428571429
30/03/2014,4.714285714
31/03/2014,4.142857143
01/04/2014,1.714285714
02/04/2014,4.571428571
03/04/2014,2.857142857
04/04/2014,3.428571429
05/04/2014,5.714285714
06/04/2014,0.142857143
07/04/2014,5.142857143
08/04/2014,0.571428571
09/04/2014,1.142857143
10/04/2014,0
11/04/2014,4.428571429
12/04/2014,4
13/04/2014,1.142857143
14/04/2014,3.571428571
15/04/2014,2.428571429
16/04/2014,2.285714286
17/04/2014,5.142857143
18/04/2014,5
19/04/2014,5
20/04/2014,1.428571429
21/04/2014,1.428571429
22/04/2014,2.285714286
23/04/2014,2.428571429
24/04/2014,1.857142857
25/04/2014,2.142857143
26/04/2014,0.142857143
27/04/2014,3
28/04/2014,3.714285714
29/04/2014,4.428571429
30/04/2014,0.142857143
01/05/2014,5.142857143
02/05/2014,0.428571429
03/05/2014,0
04/05/2014,2
05/05/2014,0
06/05/2014,4
07/05/2014,1.714285714
08/05/2014,2.857142857
09/05/2014,3
10/05/2014,0.714285714
11/05/2014,3.142857143
12/05/2014,2
13/05/2014,2.714285714
14/05/2014,0.142857143
15/05/2014,1.714285714
16/05/2014,2.285714286
17/05/2014,3.571428571
18/05/2014,2.571428571
19/05/2014,3.714285714
20/05/2014,3.142857143
21/05/2014,4.571428571
22/05/2014,3.428571429
23/05/2014,1.714285714
24/05/2014,0.857142857
25/05/2014,0
26/05/2014,3.857142857
27/05/2014,1.714285714
28/05/2014,0
29/05/2014,1.142857143
30/05/2014,5.285714286
31/05/2014,1.285714286
01/06/2014,2.142857143
02/06/2014,3.571428571
03/06/2014,1.857142857
04/06/2014,1.714285714
05/06/2014,0.428571429
06/06/2014,2.857142857
07/06/2014,4.285714286
08/06/2014,3.857142857
09/06/2014,1.285714286
10/06/2014,3.142857143
11/06/2014,4.857142857
12/06/2014,5.428571429
13/06/2014,1.857142857
14/06/2014,3.571428571
15/06/2014,4.285714286
16/06/2014,1.285714286
17/06/2014,5.285714286
18/06/2014,0.714285714
19/06/2014,0.285714286
20/06/2014,2.285714286
21/06/2014,1.857142857
22/06/2014,5.428571429
23/06/2014,2.571428571
