Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
01/01/2021,25.3656,24.8559,10,13.4425,17.9186,27.7032,37.0336,29.166,41.1046,31.6358,40.9177,26.053,16.8688,42.1236,58.9816,62.3418,44.4914,45.1372,48.3792,50.428
02/01/2021,10,35.201,20.081,36.0435,16.2299,16.0603,15.9368,43.3974,38.6338,40.2487,44.1676,47.9263,39.7856,29.9661,38.8912,35.9011,55.3313,34.9607,51.6992,56.3787
03/01/2021,13.9417,17.2618,16.5162,20.443,18.1495,16.1796,37.7563,34.7802,41.3304,28.7986,38.5912,17.6925,39.7986,43.163,34.2978,48.4601,48.6256,56.3759,57.5781,48.6981
04/01/2021,10,17.6772,17.988,20.7685,22.0772,31.8993,27.1981,31.1584,28.4768,44.201,46.1399,34.8459,47.5312,44.9469,36.7882,54.6506,59.6043,52.6906,47.7863,63.3183
05/01/2021,10,13.6979,10,10,27.4226,36.2076,38.3957,26.7922,26.0291,31.1456,37.5025,18.5781,44.5109,39.2401,58.4809,55.5819,43.3509,28.8978,42.0132,42.4938
06/01/2021,29.1231,14.5498,21.7749,18.373,35.3602,26.943,29.2171,24.8965,47.746,43.0725,55.8232,20.6472,41.5507,43.3709,53.5885,34.7224,55.976,50.0808,34.1544,63.6503
07/01/2021,20.3847,30.544,23.8736,35.5664,23.9554,26.2985,19.9474,24.1437,44.1219,30.9113,29.8837,40.269,20.548,51.8331,49.4801,63.7443,49.9189,42.9428,56.8292,29.7223
08/01/2021,13.6317,31.0576,14.224,22.6908,31.7816,13.4876,28.3665,30.3903,34.8617,23.7016,35.7381,45.9467,48.8239,23.6058,28.9828,35.8907,24.8237,62.8093,58.2351,39.1596
09/01/2021,21.4577,10,19.1164,10,18.1442,33.3047,28.8663,22.9809,17.0037,28.5122,27.3662,36.5214,45.5151,30.9854,64.5967,59.2185,55.5902,34.0397,34.5406,39.4375
10/01/2021,11.2542,15.7929,18.9882,10.4463,18.9106,36.1531,38.8976,44.1739,31.6052,26.3422,34.117,27.2528,22.981,26.4941,27.5986,36.5575,62.2728,45.6217,41.8469,31.3159
11/01/2021,25.4519,30.7361,22.1713,19.3442,13.1383,36.4075,16.1842,24.037,37.8682,42.1344,40.9006,41.6203,55.3027,51.1842,41.2752,51.8269,49.533,38.9817,54.7851,47.716
12/01/2021,13.8274,18.4244,13.6554,21.472,10,29.2305,17.2235,35.0752,34.4658,47.4576,30.2176,53.617,30.2285,25.4948,43.9021,43.1571,47.1528,44.418,74.5648,45.0543
13/01/2021,14.3835,46.5848,29.3156,25.3211,22.6937,23.2947,21.5267,44.201,10,35.6304,34.1165,16.4351,36.3875,42.4486,38.7234,63.4365,60.2361,37.6003,48.5333,55.7661
14/01/2021,10,27.2528,23.2547,14.3032,30.0434,38.293,44.2715,33.6091,34.2628,28.4519,50.098,46.7645,37.213,36.779,33.5937,41.3813,49.3501,53.5593,43.3719,50.7571
15/01/2021,10,30.7714,10,14.8414,24.4069,14.5875,46.0586,28.8102,28.0021,27.7487,18.5953,35.9895,45.4295,27.4251,42.5238,37.7851,45.4326,49.6404,47.8623,54.2569
16/01/2021,26.593,10,15.3976,22.4334,33.9821,30.0938,17.0006,41.7874,36.6567,26.9145,41.5152,35.3936,66.7351,23.2333,38.9912,39.1513,25.6052,58.2002,15.3546,66.1157
17/01/2021,10,29.3627,48.9801,29.1417,26.9158,39.2788,35.4261,25.9398,24.2703,22.048,22.5334,35.36,52.0271,36.1872,59.7259,65.9181,43.0506,47.4433,41.4514,51.3134
18/01/2021,20.3155,14.9814,16.1546,28.8016,10,10,28.0206,38.738,25.1194,34.3996,34.9581,24.8723,37.8301,72.3971,44.8839,39.1062,70.2557,29.6638,30.5434,41.9107
19/01/2021,42.5946,10,43.2062,37.8873,29.8828,36.0405,30.278,19.2493,41.4243,25.3048,35.7045,34.5047,30.9585,38.6132,37.2327,48.6629,65.4381,46.2486,51.2183,58.5008
20/01/2021,25.3373,30.237,11.2043,23.2127,10,27.3152,35.0864,26.9481,30.5145,27.4847,28.3086,41.7485,43.1669,42.4472,28.7613,44.2644,47.3856,51.2598,45.9818,47.1329
21/01/2021,34.4752,10,11.0472,36.8339,30.6441,21.6535,26.6959,24.3708,23.9401,14.3523,33.0002,25.3855,28.6076,61.8739,56.2428,22.2986,61.3841,42.4223,56.7353,47.1357
22/01/2021,21.9016,10,19.3929,20.5057,33.4366,36.1354,42.1488,24.1462,20.7402,32.698,41.6471,26.3652,31.7505,29.363,28.3071,36.0597,33.7739,40.1077,31.5005,56.3407
23/01/2021,10,39.9054,40.6649,27.7137,10,15.5481,23.9784,29.4444,26.2181,24.1382,47.896,43.2494,31.1864,42.9915,52.5384,27.1595,47.4381,38.2602,64.4839,40.9004
24/01/2021,15.592,26.7836,26.8263,33.6173,24.3626,24.6586,33.0302,35.4594,50.4779,34.1712,37.2859,28.6007,40.2673,45.7204,22.2188,46.8435,47.3742,56.9171,29.9759,33.5109
25/01/2021,28.6895,12.7824,13.0151,19.7177,20.1708,23.1439,22.9936,31.7835,17.1519,22.3857,57.7441,39.2694,13.663,32.4281,35.0228,44.8791,49.1363,46.5174,57.3582,44.0551
26/01/2021,10,32.6748,24.0346,14.7317,33.669,32.4187,46.5163,27.9019,47.6783,34.2733,36.4757,55.7421,42.2213,47.1593,53.1204,16.0951,36.1445,43.0093,41.8276,49.3034
27/01/2021,37.2616,22.7175,44.0562,22.4711,37.6813,36.023,23.4088,19.0971,45.3903,37.1737,43.5963,30.1895,44.8348,49.5628,43.9443,68.6354,50.2397,31.1821,31.2816,45.9503
28/01/2021,31.9,33.0549,13.1896,22.0234,28.5842,20.1848,45.5527,26.632,11.7432,26.9541,26.6435,39.9592,35.2214,41.4969,52.3062,31.3822,62.4302,59.4278,55.0038,45.8884
29/01/2021,10,20.4752,10,22.2126,30.9122,24.2605,22.5648,17.0391,31.0149,34.5664,42.5382,26.6488,51.6635,27.6755,57.3509,29.568,50.9193,42.2417,57.7452,53.7587
30/01/2021,17.9587,21.2511,24.3395,38.2059,30.5412,29.0838,12.3013,40.0919,29.8268,33.5368,43.5378,23.8705,20.9744,40.0368,51.4327,40.0008,28.0727,47.5721,45.6793,59.4255
31/01/2021,29.0709,13.4476,18.0793,25.1625,31.6764,32.1914,10.2178,25.381,27.7191,47.976,35.8542,51.8535,34.465,30.4593,53.5593,39.6124,44.0379,39.0096,58.5963,48.8907
01/02/2021,10,10,21.9707,34.3905,24.4985,34.138,17.1445,26.2097,24.387,37.6716,30.9646,19.5532,41.3603,49.3792,44.1533,31.5203,44.6667,36.3596,64.3746,39.2025
02/02/2021,28.3983,23.6575,23.5664,33.823,22.8888,30.779,43.5191,30.8635,20.1564,49.2857,38.744,32.4513,39.3224,41.0227,34.714,56.3343,38.0828,36.9665,48.2635,55.4862
03/02/2021,10,35.3468,29.3609,25.3642,19.5378,34.129,32.0863,34.116,15.2218,33.1122,27.6316,29.5084,48.0039,71.5507,47.194,56.4361,43.6437,43.8369,33.6487,48.3376
04/02/2021,10,11.3913,20.2578,33.2945,29.3103,28.8746,39.893,28.8172,41.8236,19.7842,37.7894,32.9148,20.6696,35.0405,47.7202,50.8471,36.8302,42.5227,53.5258,58.1907
05/02/2021,20.7494,15.7168,20.3584,10,29.3465,20.495,18.8671,48.1671,42.2233,34.5001,27.3329,40.5013,39.2954,40.5044,51.9712,38.0376,43.9735,47.1775,25.9541,57.8556
06/02/2021,27.278,23.2175,31.1542,25.3728,30.792,41.2406,24.0172,24.6445,42.3861,27.6166,45.4712,27.6908,33.7692,49.169,44.4946,50.9527,64.6459,37.0528,66.6654,44.3585
07/02/2021,17.5583,30.4118,10,24.8273,20.9474,24.5021,33.3765,19.5982,40.7844,34.4579,13.2815,40.4251,42.3314,43.7739,36.2531,52.7414,38.5189,60.5185,53.191,44.5384
08/02/2021,10,10,18.0685,27.8269,18.9233,25.2357,30.086,29.7194,33.4397,41.1934,35.1048,32.7838,42.3267,33.3252,31.0747,29.6195,36.3306,55.7792,59.3959,76.7731
09/02/2021,10,22.3926,18.5512,25.4976,10,14.7388,17.8134,44.8237,18.2134,46.0866,27.7066,26.0082,24.3029,58.9869,50.3594,59.294,41.0752,52.7323,47.2385,56.4538
10/02/2021,25.5042,15.8621,31.2639,18.2924,20.3967,23.8882,26.772,38.9066,12.6394,30.8702,42.8,46.0587,27.612,36.2785,28.2689,20.9585,30.4861,53.1522,65.0279,40.2952
11/02/2021,21.3568,17.4836,32.7528,12.3977,32.6602,21.5998,26.4571,29.8797,21.9264,39.8322,60.7398,38.6159,53.8299,46.0277,42.074,31.5129,35.2046,43.4531,74.2437,42.7808
12/02/2021,13.8667,12.0838,22.2814,27.1927,47.6566,13.4722,19.168,33.4875,29.8176,30.5268,37.0851,41.8736,33.9137,44.3548,21.4791,46.2757,53.385,50.8663,39.0104,58.4395
13/02/2021,19.2816,18.8959,10,10,20.5325,30.8203,18.3844,35.1831,13.6337,42.6822,26.8224,38.294,40.1512,53.2919,41.582,47.8305,46.8129,63.8014,30.789,51.1571
14/02/2021,10,10,20.2055,26.1876,41.0249,24.2834,22.102,42.1956,27.105,28.6034,48.2735,42.2121,39.1743,54.4564,44.7006,36.9029,48.085,41.9731,39.0635,65.4914
15/02/2021,18.535,11.7363,29.822,16.5417,14.4575,24.2273,16.2977,23.1653,25.1997,21.9266,22.4165,24.1277,36.7295,41.0454,43.8645,56.2342,49.3733,58.3712,42.7886,42.3288
16/02/2021,10,10.9766,17.8095,15.8406,24.0015,28.4998,27.4726,25.9195,38.0166,40.0409,40.9389,39.5294,30.7334,47.8797,48.2329,39.326,43.6756,33.5954,27.6347,64.7513
17/02/2021,27.6902,18.2511,10,22.952,29.302,29.0513,28.3076,24.6914,35.5235,21.4577,17.641,13.0922,28.0187,26.6743,45.7782,35.9928,34.4982,45.651,55.9873,43.942
18/02/2021,17.1263,10,32.5776,29.7341,31.237,46.668,38.4672,35.1756,36.9113,28.8041,36.1826,39.4287,55.4807,34.4311,41.1223,50.0538,24.5083,45.1912,34.9752,48.7803
19/02/2021,26.2421,10,29.8724,36.2506,37.6177,37.5426,36.6707,25.6519,37.0396,16.5811,42.342,34.8817,34.0458,46.1295,50.5767,39.1938,53.449,44.3271,37.1743,62.4533
20/02/2021,29.7278,14.4312,27.3064,10,12.8724,29.9464,32.7965,29.5538,25.912,45.2303,40.216,36.83,24.9681,32.5115,45.9265,38.2055,57.8938,49.9833,44.3588,56.9054
21/02/2021,10.1678,30.7763,23.4672,24.6552,31.5565,31.5606,44.3511,32.451,44.7547,22.1296,29.3053,20.051,39.4193,55.9484,37.2309,42.9178,43.6755,44.8162,49.8259,56.7439
22/02/2021,10,15.6008,17.5352,11.4927,35.9795,20.4161,25.0267,32.1336,32.9507,15.517,21.6487,29.6311,40.7694,31.8984,47.2711,54.7901,50.7832,46.1696,55.6754,43.2538
23/02/2021,21.4005,30.2137,15.0072,19.4244,13.9476,36.1482,47.2131,26.8203,30.4277,30.5637,44.7097,37.6128,24.7502,43.9872,41.8166,62.7149,58.6178,51.9543,47.0325,44.8667
24/02/2021,20.9977,21.9477,19.5175,25.7263,27.1729,19.3205,18.7818,29.9172,30.3926,31.1031,27.1013,48.6728,36.6272,52.4181,32.9693,46.4645,55.5568,43.0409,39.3618,49.1307
25/02/2021,12.4571,27.4458,18.595,33.4729,44.356,27.0465,29.1737,31.0234,37.2574,14.803,38.9455,41.5943,21.3228,29.0024,45.4239,35.3861,49.32,49.3915,53.3918,47.7223
26/02/2021,28.0427,15.8808,12.1273,12.4445,31.2027,36.4395,22.1319,10,41.7093,34.7144,33.062,27.0427,40.2496,52.596,57.7782,32.748,29.9363,68.0832,51.7327,60.8501
27/02/2021,21.1454,31.5178,34.6662,17.1145,32.9431,27.5029,37.9623,42.1656,30.673,35.9398,41.6425,33.7379,41.3235,32.7672,37.9788,43.2071,41.1152,47.4224,52.0058,48.8269
28/02/2021,10,34.4853,20.5896,20.4455,22.7661,24.4477,40.1932,20.8592,30.0566,18.136,25.9472,47.2834,59.7243,44.9769,46.2844,36.2014,39.7681,53.5134,38.8041,30.9543
01/03/2021,31.2228,25.9322,20.556,27.5188,39.6223,17.5578,31.2441,29.4786,28.5729,51.25,17.9718,39.9307,49.1197,20.3492,43.3157,29.9223,42.5857,52.2119,58.2311,58.4628
02/03/2021,25.8263,35.3276,10,18.1378,26.6237,11.7671,28.2086,23.3226,34.2534,20.1909,25.2768,17.0745,48.9162,33.4313,36.6936,50.4063,20.229,55.3549,58.8984,53.7214
03/03/2021,24.3604,13.0237,10,17.387,13.314,28.7594,26.9542,41.3744,32.2264,36.2125,33.8154,32.348,35.2317,42.1811,37.478,26.088,39.4534,44.3653,39.9876,61.6118
