Date,I
01/02/2020,5.81
02/02/2020,4.6
03/02/2020,3.85
04/02/2020,3.41
05/02/2020,3.86
06/02/2020,4.62
07/02/2020,2.6799999999999997
08/02/2020,3.8899999999999997
09/02/2020,3.15
10/02/2020,3.47
11/02/2020,4.36
12/02/2020,4.24
13/02/2020,4.68
14/02/2020,4.83
15/02/2020,5.88
16/02/2020,9.0
17/02/2020,8.25
18/02/2020,9.61
19/02/2020,7.69
20/02/2020,7.82
21/02/2020,6.2
22/02/2020,7.84
23/02/2020,7.08
24/02/2020,6.21
25/02/2020,12.56
26/02/2020,15.55
27/02/2020,16.62
28/02/2020,14.690000000000001
29/02/2020,14.39
01/03/2020,11.45
02/03/2020,12.31
03/03/2020,12.32
04/03/2020,12.65
05/03/2020,11.14
06/03/2020,10.7
07/03/2020,9.190000000000001
08/03/2020,9.190000000000001
09/03/2020,8.75
10/03/2020,10.82
11/03/2020,14.74
12/03/2020,16.02
13/03/2020,13.53
14/03/2020,11.14
15/03/2020,11.15
16/03/2020,9.190000000000001
17/03/2020,9.190000000000001
18/03/2020,8.75
19/03/2020,7.680000000000001
20/03/2020,8.440000000000001
21/03/2020,7.24
22/03/2020,8.440000000000001
23/03/2020,9.31
24/03/2020,10.379999999999999
25/03/2020,9.63
26/03/2020,8.440000000000001
27/03/2020,10.06
28/03/2020,11.7
29/03/2020,11.57
30/03/2020,10.39
31/03/2020,9.95
