Date,I
01/03/2020,4.493664
02/03/2020,4.493664
03/03/2020,4.493664
04/03/2020,4.493664
05/03/2020,4.493664
06/03/2020,4.493664
07/03/2020,4.493664
08/03/2020,4.493664
09/03/2020,4.493664
10/03/2020,4.493664
11/03/2020,4.493664
12/03/2020,4.493664
13/03/2020,4.493664
14/03/2020,4.493664
15/03/2020,4.493664
16/03/2020,4.493664
17/03/2020,4.493664
18/03/2020,4.493664
19/03/2020,4.493664
20/03/2020,4.493664
21/03/2020,4.493664
22/03/2020,4.493664
23/03/2020,4.493664
24/03/2020,4.493664
25/03/2020,4.493664
26/03/2020,4.493664
27/03/2020,4.493664
28/03/2020,4.493664
29/03/2020,4.493664
30/03/2020,4.493664
31/03/2020,4.493664
01/04/2020,9.781344
02/04/2020,9.781344
03/04/2020,9.781344
04/04/2020,9.781344
05/04/2020,9.781344
06/04/2020,9.781344
07/04/2020,9.781344
08/04/2020,9.781344
09/04/2020,9.781344
10/04/2020,9.781344
11/04/2020,9.781344
12/04/2020,9.781344
13/04/2020,9.781344
14/04/2020,9.781344
15/04/2020,9.781344
16/04/2020,9.781344
17/04/2020,9.781344
18/04/2020,9.781344
19/04/2020,9.781344
20/04/2020,9.781344
21/04/2020,9.781344
22/04/2020,9.781344
23/04/2020,9.781344
24/04/2020,9.781344
25/04/2020,9.781344
26/04/2020,9.781344
27/04/2020,9.781344
28/04/2020,9.781344
29/04/2020,9.781344
30/04/2020,9.781344
