Date,demand
01/06/2019,13.858
02/06/2019,13.858
03/06/2019,13.858
04/06/2019,13.858
05/06/2019,13.858
06/06/2019,13.858
07/06/2019,13.858
08/06/2019,13.858
09/06/2019,13.858
10/06/2019,13.858
11/06/2019,13.858
12/06/2019,13.858
13/06/2019,13.858
14/06/2019,13.858
15/06/2019,13.858
16/06/2019,13.858
17/06/2019,13.858
18/06/2019,13.858
19/06/2019,13.858
20/06/2019,13.858
21/06/2019,13.858
22/06/2019,13.858
23/06/2019,13.858
24/06/2019,13.858
25/06/2019,13.858
26/06/2019,13.858
27/06/2019,13.858
28/06/2019,13.858
29/06/2019,13.858
30/06/2019,13.858
01/07/2019,12.994
02/07/2019,12.994
03/07/2019,12.994
04/07/2019,12.994
05/07/2019,12.994
06/07/2019,12.994
07/07/2019,12.994
08/07/2019,12.994
09/07/2019,12.994
10/07/2019,12.994
11/07/2019,12.994
12/07/2019,12.994
13/07/2019,12.994
14/07/2019,12.994
15/07/2019,12.994
16/07/2019,12.994
17/07/2019,12.994
18/07/2019,12.994
19/07/2019,12.994
20/07/2019,12.994
21/07/2019,12.994
22/07/2019,12.994
23/07/2019,12.994
24/07/2019,12.994
25/07/2019,12.994
26/07/2019,12.994
27/07/2019,12.994
28/07/2019,12.994
29/07/2019,12.994
30/07/2019,12.994
31/07/2019,12.994
