,Release,I_obs,Demand,Storage,Volume Difference,Supply Deficit
0,0.0,0.0,0.0,2293.15,2055.85,0.0
1,92.47,13.629999999999999,91.5,2225.96,2123.04,0.0
2,92.39,20.89,91.5,2154.48,2194.52,0.0
3,92.67,14.9,91.5,2076.72,2272.28,0.0
4,93.03999999999999,33.14,91.5,2016.78,2332.2200000000003,0.0
5,86.00999999999999,34.08,87.18,1945.58,2403.42,1.170000000000016
6,86.22,22.25,85.46,1881.6,2467.4,0.0
7,86.12,12.23,85.46,1807.73,2541.27,0.0
8,86.06,38.92,85.46,1760.58,2588.42,0.0
9,85.8,76.38,88.91,1727.06,2621.94,3.1099999999999994
10,81.34,272.6,88.91,1918.29,2430.71,7.569999999999993
11,82.12,332.9,88.91,2169.11,2179.89,6.789999999999992
12,81.2,373.08,88.91,2461.02,1887.98,7.709999999999994
13,78.3,299.07,84.38,2694.32,1654.6799999999998,6.079999999999998
14,78.35,90.81,80.98,2706.77,1642.23,2.6300000000000097
15,78.3,40.27,80.98,2668.72,1680.2800000000002,2.680000000000007
16,78.1,86.74,80.98,2677.35,1671.65,2.8800000000000097
17,77.15,34.73,78.98,2627.47,1721.5300000000002,1.8299999999999983
18,76.83,27.65,78.98,2578.31,1770.69,2.1500000000000057
19,75.42,71.05,78.98,2573.92,1775.08,3.5600000000000023
20,76.83,198.85,78.98,2695.92,1653.08,2.1500000000000057
21,75.98,92.86,76.11,2707.84,1641.1599999999999,0.12999999999999545
22,75.03999999999999,45.45,73.96,2678.25,1670.75,0.0
23,75.0,29.88,73.96,2633.13,1715.87,0.0
24,74.94,23.36,73.96,2581.56,1767.44,0.0
25,74.11,24.15,73.96,2522.52,1826.48,0.0
26,75.9,17.38,73.96,2464.0,1885.0,0.0
27,75.03,12.75,73.96,2401.72,1947.2800000000002,0.0
28,75.01,12.42,73.96,2339.15,2009.85,0.0
29,75.45,12.29,73.99,2247.94,2101.06,0.0
30,75.03,9.7,74.0,2182.6,2166.4,0.0
31,74.89,9.79,74.0,2117.5,2231.5,0.0
32,75.12,11.06,74.0,2053.44,2295.56,0.0
33,74.86,10.54,74.0,1960.43,2388.5699999999997,0.0
34,75.01,10.76,74.0,1896.21,2452.79,0.0
35,74.96,16.64,74.0,1837.92,2511.08,0.0
36,74.83,25.9,74.0,1788.96,2560.04,0.0
37,74.74,21.31,74.25,1735.53,2613.4700000000003,0.0
38,74.52,18.83,74.25,1679.83,2669.17,0.0
39,74.36,37.76,74.25,1643.25,2705.75,0.0
40,68.09,51.86,74.25,1627.04,2721.96,6.159999999999997
41,68.68,140.55,80.11,1687.55,2661.45,11.429999999999993
42,69.42,76.46,80.11,1694.58,2654.42,10.689999999999998
43,69.17999999999999,83.89,80.11,1709.3,2639.7,10.930000000000007
44,69.29,94.71,80.11,1734.71,2614.29,10.819999999999993
45,76.89,42.82,85.59,1698.12,2650.88,8.700000000000003
46,77.17999999999999,32.83,87.79,1653.75,2695.25,10.610000000000014
47,77.28999999999999,28.759999999999998,87.79,1605.2,2743.8,10.500000000000014
48,76.81,16.65,87.79,1545.05,2803.95,10.980000000000004
49,80.44,9.11,91.54,1445.3,2903.7,11.100000000000009
50,63.21,8.94,91.54,1390.49,2958.51,28.330000000000005
51,28.49,15.1,91.54,1377.09,2971.91,63.05000000000001
52,23.29,38.84,91.54,1392.64,2956.3599999999997,68.25
53,19.91,26.63,87.22,1408.93,2940.0699999999997,67.31
54,9.41,49.03,85.49,1448.53,2900.4700000000003,76.08
55,18.02,44.96,85.49,1475.49,2873.51,67.47
56,6.74,370.0,85.49,1838.77,2510.23,78.75
57,16.1,113.53,88.94,2001.48,2347.52,72.84
58,19.68,63.61,88.94,2045.43,2303.5699999999997,69.25999999999999
59,19.65,49.33,88.94,2075.11,2273.89,69.28999999999999
60,17.11,266.37,88.94,2324.36,2024.6399999999999,71.83
61,20.49,65.81,84.41,2400.91,1948.0900000000001,63.92
62,20.939999999999998,48.6,81.02,2428.56,1920.44,60.08
63,21.52,28.03,81.02,2435.07,1913.9299999999998,59.5
64,21.38,18.18,81.02,2431.9,1917.1,59.64
65,25.380000000000003,29.81,79.02,2435.41,1913.5900000000001,53.63999999999999
66,33.26,17.48,79.02,2419.62,1929.38,45.76
67,45.72,12.37,79.02,2386.24,1962.7600000000002,33.3
68,50.51,12.3,79.02,2348.03,2000.9699999999998,28.509999999999998
69,36.85,13.23,76.16,2307.98,2041.02,39.309999999999995
70,15.81,92.74,74.0,2384.92,1964.08,58.19
71,6.87,140.06,74.0,2518.1,1830.9,67.13
72,10.41,97.89,74.0,2605.61,1743.3899999999999,63.59
73,9.99,81.69,74.0,2693.19,1655.81,64.01
74,11.17,63.0,74.0,2745.0,1604.0,62.83
75,10.620000000000001,48.32,74.0,2782.7,1566.3000000000002,63.379999999999995
76,12.93,35.54,74.0,2805.3,1543.6999999999998,61.07
77,24.17,25.36,74.15,2810.81,1538.19,49.980000000000004
78,27.18,16.65,74.26,2800.29,1548.71,47.080000000000005
79,28.490000000000002,12.85,74.26,2784.68,1564.3200000000002,45.77
80,39.29,9.0,74.26,2754.38,1594.62,34.970000000000006
81,43.91,7.25,74.26,2709.13,1639.87,30.35000000000001
82,37.550000000000004,25.41,74.26,2697.0,1652.0,36.71
83,16.83,45.980000000000004,74.26,2726.14,1622.8600000000001,57.43000000000001
84,29.34,21.01,74.26,2717.79,1631.21,44.92
85,52.53,83.98,74.46,2749.01,1599.9899999999998,21.929999999999993
86,51.94,88.57000000000001,74.49,2785.63,1563.37,22.549999999999997
87,51.94,38.71,74.49,2772.38,1576.62,22.549999999999997
88,51.94,34.59,74.49,2755.0,1594.0,22.549999999999997
89,93.23,33.97,80.36,2686.98,1662.02,0.0
90,93.26,68.99,80.36,2662.68,1686.3200000000002,0.0
91,93.23,177.49,80.36,2746.9,1602.1,0.0
92,112.2,136.19,80.36,2770.87,1578.13,0.0
93,159.69,88.17,85.84,2679.5,1669.5,0.0
94,124.39,66.65,88.04,2621.77,1727.23,0.0
95,118.14,54.25,88.04,2557.9,1791.1,0.0
96,105.62,38.47,88.04,2490.73,1858.27,0.0
97,102.37,16.62,91.79,2372.1,1976.9,0.0
98,104.13,18.77,91.79,2286.75,2062.25,0.0
99,103.15,22.13,91.79,2205.72,2143.28,0.0
100,97.22,19.64,91.79,2128.16,2220.84,0.0
101,189.97,1538.98,87.47,3452.97,896.0300000000002,0.0
102,552.99,230.66,85.74,3130.66,1218.3400000000001,0.0
103,337.25,340.01,85.74,3133.41,1215.5900000000001,0.0
104,113.62,120.73,85.74,3140.53,1208.4699999999998,0.0
105,97.22999999999999,75.11,89.19,3110.25,1238.75,0.0
106,91.17,35.37,89.19,3054.43,1294.5700000000002,0.0
107,91.78,24.560000000000002,89.19,2987.18,1361.8200000000002,0.0
108,92.19,30.77,89.19,2925.77,1423.23,0.0
109,83.68,110.0,84.66,2988.8,1360.1999999999998,0.9799999999999898
110,46.730000000000004,68.33,81.26,3010.42,1338.58,34.53
111,13.45,59.36,81.26,3056.32,1292.6799999999998,67.81
112,21.57,42.48,81.26,3077.24,1271.7600000000002,59.690000000000005
