Date,I
01/08/2011,82.64
02/08/2011,63.57
03/08/2011,56.26
04/08/2011,113.43
05/08/2011,87.97
06/08/2011,58.69
07/08/2011,45.36
08/08/2011,47.75
09/08/2011,48.18
10/08/2011,40.6
11/08/2011,30.509999999999998
12/08/2011,34.36
13/08/2011,42.040000000000006
14/08/2011,38.0
15/08/2011,37.870000000000005
16/08/2011,41.15
17/08/2011,278.97
18/08/2011,317.31
19/08/2011,142.24
20/08/2011,82.23
21/08/2011,56.67
22/08/2011,37.589999999999996
23/08/2011,31.62
24/08/2011,24.86
25/08/2011,21.400000000000002
26/08/2011,18.44
27/08/2011,17.77
28/08/2011,13.16
29/08/2011,14.74
30/08/2011,12.579999999999998
31/08/2011,11.54
01/09/2011,10.84
02/09/2011,10.3
03/09/2011,8.32
04/09/2011,6.98
05/09/2011,10.540000000000001
06/09/2011,13.8
07/09/2011,10.26
08/09/2011,10.26
09/09/2011,8.309999999999999
10/09/2011,13.23
11/09/2011,42.37
12/09/2011,112.47
13/09/2011,71.73
14/09/2011,38.77
15/09/2011,26.59
16/09/2011,21.03
17/09/2011,17.41
18/09/2011,15.3
19/09/2011,15.889999999999999
20/09/2011,13.09
21/09/2011,12.540000000000001
22/09/2011,11.12
23/09/2011,9.39
24/09/2011,9.66
25/09/2011,8.17
26/09/2011,7.109999999999999
27/09/2011,6.19
28/09/2011,7.0
29/09/2011,9.18
30/09/2011,7.790000000000001
