Date,demand
01/06/2018,13.771
02/06/2018,13.771
03/06/2018,13.771
04/06/2018,13.771
05/06/2018,13.771
06/06/2018,13.771
07/06/2018,13.771
08/06/2018,13.771
09/06/2018,13.771
10/06/2018,13.771
11/06/2018,13.771
12/06/2018,13.771
13/06/2018,13.771
14/06/2018,13.771
15/06/2018,13.771
16/06/2018,13.771
17/06/2018,13.771
18/06/2018,13.771
19/06/2018,13.771
20/06/2018,13.771
21/06/2018,13.771
22/06/2018,13.771
23/06/2018,13.771
24/06/2018,13.771
25/06/2018,13.771
26/06/2018,13.771
27/06/2018,13.771
28/06/2018,13.771
29/06/2018,13.771
30/06/2018,13.771
01/07/2018,12.907
02/07/2018,12.907
03/07/2018,12.907
04/07/2018,12.907
05/07/2018,12.907
06/07/2018,12.907
07/07/2018,12.907
08/07/2018,12.907
09/07/2018,12.907
10/07/2018,12.907
11/07/2018,12.907
12/07/2018,12.907
13/07/2018,12.907
14/07/2018,12.907
15/07/2018,12.907
16/07/2018,12.907
17/07/2018,12.907
18/07/2018,12.907
19/07/2018,12.907
20/07/2018,12.907
21/07/2018,12.907
22/07/2018,12.907
23/07/2018,12.907
24/07/2018,12.907
25/07/2018,12.907
26/07/2018,12.907
27/07/2018,12.907
28/07/2018,12.907
29/07/2018,12.907
30/07/2018,12.907
31/07/2018,12.907
