Date,demand
01/11/2015,10.572
02/11/2015,10.572
03/11/2015,10.572
04/11/2015,10.572
05/11/2015,10.572
06/11/2015,10.572
07/11/2015,10.572
08/11/2015,10.572
09/11/2015,10.572
10/11/2015,10.572
11/11/2015,10.572
12/11/2015,10.572
13/11/2015,10.572
14/11/2015,10.572
15/11/2015,10.572
16/11/2015,10.572
17/11/2015,10.572
18/11/2015,10.572
19/11/2015,10.572
20/11/2015,10.572
21/11/2015,10.572
22/11/2015,10.572
23/11/2015,10.572
24/11/2015,10.572
25/11/2015,10.572
26/11/2015,10.572
27/11/2015,10.572
28/11/2015,10.572
29/11/2015,10.572
30/11/2015,10.572
01/12/2015,10.572
02/12/2015,10.572
03/12/2015,10.572
04/12/2015,10.572
05/12/2015,10.572
06/12/2015,10.572
07/12/2015,10.572
08/12/2015,10.572
09/12/2015,10.572
10/12/2015,10.572
11/12/2015,10.572
12/12/2015,10.572
13/12/2015,10.572
14/12/2015,10.572
15/12/2015,10.572
16/12/2015,10.572
17/12/2015,10.572
18/12/2015,10.572
19/12/2015,10.572
20/12/2015,10.572
21/12/2015,10.572
22/12/2015,10.572
23/12/2015,10.572
24/12/2015,10.572
25/12/2015,10.572
26/12/2015,10.572
27/12/2015,10.572
28/12/2015,10.572
29/12/2015,10.572
30/12/2015,10.572
31/12/2015,10.572
