Date,demand
01/09/2015,11.574
02/09/2015,11.574
03/09/2015,11.574
04/09/2015,11.574
05/09/2015,11.574
06/09/2015,11.574
07/09/2015,11.574
08/09/2015,11.574
09/09/2015,11.574
10/09/2015,11.574
11/09/2015,11.574
12/09/2015,11.574
13/09/2015,11.574
14/09/2015,11.574
15/09/2015,11.574
16/09/2015,11.574
17/09/2015,11.574
18/09/2015,11.574
19/09/2015,11.574
20/09/2015,11.574
21/09/2015,11.574
22/09/2015,11.574
23/09/2015,11.574
24/09/2015,11.574
25/09/2015,11.574
26/09/2015,11.574
27/09/2015,11.574
28/09/2015,11.574
29/09/2015,11.574
30/09/2015,11.574
01/10/2015,11.289
02/10/2015,11.289
03/10/2015,11.289
04/10/2015,11.289
05/10/2015,11.289
06/10/2015,11.289
07/10/2015,11.289
08/10/2015,11.289
09/10/2015,11.289
10/10/2015,11.289
11/10/2015,11.289
12/10/2015,11.289
13/10/2015,11.289
14/10/2015,11.289
15/10/2015,11.289
16/10/2015,11.289
17/10/2015,11.289
18/10/2015,11.289
19/10/2015,11.289
20/10/2015,11.289
21/10/2015,11.289
22/10/2015,11.289
23/10/2015,11.289
24/10/2015,11.289
25/10/2015,11.289
26/10/2015,11.289
27/10/2015,11.289
28/10/2015,11.289
29/10/2015,11.289
30/10/2015,11.289
31/10/2015,11.289
01/11/2015,10.572
02/11/2015,10.572
03/11/2015,10.572
04/11/2015,10.572
05/11/2015,10.572
06/11/2015,10.572
07/11/2015,10.572
08/11/2015,10.572
09/11/2015,10.572
10/11/2015,10.572
11/11/2015,10.572
12/11/2015,10.572
13/11/2015,10.572
14/11/2015,10.572
15/11/2015,10.572
16/11/2015,10.572
17/11/2015,10.572
18/11/2015,10.572
19/11/2015,10.572
20/11/2015,10.572
21/11/2015,10.572
22/11/2015,10.572
23/11/2015,10.572
24/11/2015,10.572
25/11/2015,10.572
26/11/2015,10.572
27/11/2015,10.572
28/11/2015,10.572
29/11/2015,10.572
30/11/2015,10.572
01/12/2015,10.572
02/12/2015,10.572
03/12/2015,10.572
04/12/2015,10.572
05/12/2015,10.572
06/12/2015,10.572
07/12/2015,10.572
08/12/2015,10.572
09/12/2015,10.572
10/12/2015,10.572
11/12/2015,10.572
12/12/2015,10.572
13/12/2015,10.572
14/12/2015,10.572
15/12/2015,10.572
16/12/2015,10.572
17/12/2015,10.572
18/12/2015,10.572
19/12/2015,10.572
20/12/2015,10.572
21/12/2015,10.572
22/12/2015,10.572
23/12/2015,10.572
24/12/2015,10.572
25/12/2015,10.572
26/12/2015,10.572
27/12/2015,10.572
28/12/2015,10.572
29/12/2015,10.572
30/12/2015,10.572
31/12/2015,10.572
01/01/2016,10.608
02/01/2016,10.608
03/01/2016,10.608
04/01/2016,10.608
05/01/2016,10.608
06/01/2016,10.608
07/01/2016,10.608
08/01/2016,10.608
09/01/2016,10.608
10/01/2016,10.608
11/01/2016,10.608
12/01/2016,10.608
13/01/2016,10.608
14/01/2016,10.608
15/01/2016,10.608
16/01/2016,10.608
17/01/2016,10.608
18/01/2016,10.608
19/01/2016,10.608
20/01/2016,10.608
21/01/2016,10.608
22/01/2016,10.608
23/01/2016,10.608
24/01/2016,10.608
25/01/2016,10.608
26/01/2016,10.608
27/01/2016,10.608
28/01/2016,10.608
29/01/2016,10.608
30/01/2016,10.608
31/01/2016,10.608
01/02/2016,10.608
02/02/2016,10.608
03/02/2016,10.608
04/02/2016,10.608
05/02/2016,10.608
06/02/2016,10.608
07/02/2016,10.608
08/02/2016,10.608
09/02/2016,10.608
10/02/2016,10.608
11/02/2016,10.608
12/02/2016,10.608
13/02/2016,10.608
14/02/2016,10.608
15/02/2016,10.608
16/02/2016,10.608
17/02/2016,10.608
18/02/2016,10.608
19/02/2016,10.608
20/02/2016,10.608
21/02/2016,10.608
22/02/2016,10.608
23/02/2016,10.608
24/02/2016,10.608
25/02/2016,10.608
26/02/2016,10.608
27/02/2016,10.608
28/02/2016,10.608
29/02/2016,10.608
