Date,sto,rain,inflow,outflow
1993-01-01,3315.84,0,4,7.4
1993-01-02,3314.08,0.65,5.21,6.83
1993-01-03,3312.49,0,6.26,9.16
1993-01-04,3307.79,0,5.78,9.17
1993-01-05,3305.07,0,5.75,9.1
1993-01-06,3298.76,0,5.56,10.58
1993-01-07,3294.91,0,4.16,8.71
1993-01-08,3291.2,0,5.22,8.87
1993-01-09,3287.01,0.6,5.02,8.61
1993-01-10,3281.87,0.55,4.25,9.43
1993-01-11,3277.39,0.05,4.53,9.37
1993-01-12,3273.56,0,5.17,9.75
1993-01-13,3268.09,0.65,6.04,9.5
1993-01-14,3262.79,2.3,4.97,9.6
1993-01-15,3258.81,9.5,4.92,8.95
1993-01-16,3252.58,2.65,4.24,9.57
1993-01-17,3248.78,0.2,4.35,8.19
1993-01-18,3243.69,0,4.43,8.22
1993-01-19,3238.31,0,2.29,8.92
1993-01-20,3233.24,0,3.64,8.61
1993-01-21,3227.05,0,3.32,10.15
1993-01-22,3221.52,0,2.57,7.92
1993-01-23,3212.64,0,2.89,11.8
1993-01-24,3208.43,0.05,3.73,8.54
1993-01-25,3202.56,0.1,2.31,8.17
1993-01-26,3196.7,0.1,3.84,7.72
1993-01-27,3193.16,0,3.51,7.01
1993-01-28,3188.97,0,2.18,6.36
1993-01-29,3185.91,0,2.81,6.52
1993-01-30,3181.55,0,3.3,5.71
1993-01-31,3179.61,0.05,2.32,6.86
1993-02-01,3175.27,0,2.45,7.45
1993-02-02,3170.01,0,2.69,7.3
1993-02-03,3165.22,0,2.49,6.63
1993-02-04,3161.73,0,2.17,6.51
1993-02-05,3157.79,0,2.42,7.61
1993-02-06,3152.19,0.9,4.42,9.38
1993-02-07,3151.73,0,6.34,8.1
1993-02-08,3149.06,0,6.19,7.57
1993-02-09,3145.53,0,5.53,10.36
1993-02-10,3141.11,0,5.9,10.97
1993-02-11,3136.9,0.2,5.67,9.83
1993-02-12,3130.96,0,3.9,11.13
1993-02-13,3123.8,0.75,5.5,12.66
1993-02-14,3117.5,0,4.22,11.98
1993-02-15,3109.28,0,4.99,12.55
1993-02-16,3101.03,29.9,8.53,13.53
1993-02-17,3095.78,0.85,8.98,15.49
1993-02-18,3093.03,0,11.31,12.1
1993-02-19,3094.26,0,9.79,7.21
1993-02-20,3097.94,3.9,6.99,3.33
1993-02-21,3108,18.7,17,4.94
1993-02-22,3118.96,0.7,21.67,9.39
1993-02-23,3120.08,0,15.07,19.95
1993-02-24,3116.8,0,11.47,15.41
1993-02-25,3117.07,0,10.34,8.07
1993-02-26,3119.31,0,8.38,8.16
1993-02-27,3119.35,0,7.08,6.37
1993-02-28,3120.74,1.25,7.89,8.61
1993-03-01,3118.39,0,6.94,9.88
